# Generated by `cargo run -p fulgur-wpt --example shard_list`.
# Shard 3/3: 193 entries (15 PASS, 120 FAIL, 58 SKIP).
# Re-balance with `cargo run -p fulgur-wpt --example shard_list -- --from crates/fulgur-wpt/expectations/lists/multicol-1.txt --from crates/fulgur-wpt/expectations/lists/multicol-2.txt --from crates/fulgur-wpt/expectations/lists/multicol-3.txt --shards 3 --output-prefix crates/fulgur-wpt/expectations/lists/multicol-`.

PASS  css/css-multicol/multicol-span-all-006.html
FAIL  css/css-multicol/multicol-span-all-dynamic-remove-006.html  # page 1 diff: 2489/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-dynamic-remove-007.html  # page 1 diff: 2153/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-fieldset-001.html  # page 1 diff: 4265/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-fieldset-002.html  # page 1 diff: 12732/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-fieldset-003.html  # page 1 diff: 12732/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-list-item-001.html  # page 1 diff: 18390/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-list-item-002.html  # page 1 diff: 18390/891662 pixels exceed tol (max_ch=255)
PASS  css/css-multicol/multicol-span-all-margin-003.html
FAIL  css/css-multicol/multicol-span-all-restyle-001.html  # page 1 diff: 38697/891662 pixels exceed tol (max_ch=255)
PASS  css/css-multicol/multicol-span-all-restyle-002.html
FAIL  css/css-multicol/multicol-span-all-restyle-003.html  # page 1 diff: 39419/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-restyle-004.html  # page 1 diff: 8833/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-all-rule-001.html  # page 1 diff: 121209/891662 pixels exceed tol (max_ch=255)
PASS  css/css-multicol/multicol-span-all-rule-002.html
FAIL  css/css-multicol/multicol-span-auto-size-in-vertical-writing-mode-001.html  # page 1 diff: 9399/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-span-auto-size-in-vertical-writing-mode-002.html  # page 1 diff: 10849/891662 pixels exceed tol (max_ch=255)
PASS  css/css-multicol/multicol-span-float-002.html
PASS  css/css-multicol/multicol-span-float-003.html
FAIL  css/css-multicol/multicol-span-float-004.html  # page 1 diff: 53526/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-under-vertical-rl-scroll.html  # page 1 diff: 760/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-width-004.html  # page 1 diff: 58848/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-width-005.html  # page 1 diff: 91601/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/multicol-width-ch-001.html  # page 1 diff: 21106/891662 pixels exceed tol (max_ch=255)
PASS  css/css-multicol/multicol-zero-height-002.html
FAIL  css/css-multicol/multicol-zero-height-003.html  # page 1 diff: 2268/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/named-page.html  # page 1 diff: 499/891662 pixels exceed tol (max_ch=63)
FAIL  css/css-multicol/nested-after-float-clearance.html  # page 1 diff: 17925/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/nested-at-outer-boundary-as-fieldset.html  # page 1 diff: 23916/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/nested-at-outer-boundary-as-float.html  # page 1 diff: 15450/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/nested-at-outer-boundary-as-legend.html  # page 1 diff: 18966/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/nested-balanced-monolithic-multicol-crash.html  # NoMatch
SKIP  css/css-multicol/nested-balanced-very-tall-content-crash.html  # NoMatch
FAIL  css/css-multicol/nested-floated-multicol-with-monolithic-child.html  # page 1 diff: 1390/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/nested-floated-shape-outside-multicol-with-monolithic-child-crash.html  # NoMatch
SKIP  css/css-multicol/nested-non-auto-inline-size-offset-top.html  # NoMatch
FAIL  css/css-multicol/nested-oofs-in-relative-multicol.html  # page 1 diff: 1600/891662 pixels exceed tol (max_ch=98)
FAIL  css/css-multicol/nested-past-fragmentation-line.html  # page 1 diff: 12493/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/nested-with-overflowing-padding-crash.html  # NoMatch
FAIL  css/css-multicol/nested-with-padding-and-spanner.html  # page 1 diff: 14841/891662 pixels exceed tol (max_ch=255)
PASS  css/css-multicol/nested-with-too-tall-line.html
PASS  css/css-multicol/no-balancing-after-column-span.html
FAIL  css/css-multicol/non-adjacent-spanners-000.html  # page 1 diff: 1111/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/non-adjacent-spanners-001.html  # page 1 diff: 15450/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/offsetProps-001.html  # NoMatch
SKIP  css/css-multicol/offsetProps-002.html  # NoMatch
FAIL  css/css-multicol/oof-nested-in-single-column.html  # page 1 diff: 27176/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/orthogonal-writing-mode-shrink-to-fit.html  # page 1 diff: 400/891662 pixels exceed tol (max_ch=62)
FAIL  css/css-multicol/orthogonal-writing-mode-spanner.html  # page 1 diff: 8074/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/overflow-scroll-in-multicol-crash.html  # NoMatch
PASS  css/css-multicol/overflow-unsplittable-001.html
PASS  css/css-multicol/overflow-unsplittable-002.html
PASS  css/css-multicol/overflow-unsplittable-003.html
FAIL  css/css-multicol/page-property-ignored.html  # page 1 diff: 598/891662 pixels exceed tol (max_ch=63)
FAIL  css/css-multicol/paint-containment-001.html  # page 1 diff: 90900/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/parallel-flow-after-spanner-001.html  # page 1 diff: 10449/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/parallel-flow-after-spanner-002.html  # page 1 diff: 9860/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/parsing/column-count-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-count-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-count-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-fill-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-fill-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-fill-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-pseudo-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-pseudo-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-pseudo-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-color-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-color-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-color-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-shorthand.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-style-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-style-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-style-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-width-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-width-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-rule-width-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-span-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-span-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-span-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-width-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/column-width-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/column-width-valid.html  # NoMatch
SKIP  css/css-multicol/parsing/columns-computed.html  # NoMatch
SKIP  css/css-multicol/parsing/columns-invalid.html  # NoMatch
SKIP  css/css-multicol/parsing/columns-valid.html  # NoMatch
FAIL  css/css-multicol/relative-child-overflowing-column-gap.html  # page 1 diff: 10302/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/relative-child-overflowing-container.html  # page 1 diff: 10201/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/remove-block-beside-spanner-in-inline-crash.html  # NoMatch
SKIP  css/css-multicol/remove-block-sibling-of-inline-with-block-crash.html  # NoMatch
FAIL  css/css-multicol/remove-child-in-strict-containment-also-spanner.html  # page 1 diff: 4449/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/remove-inline-with-block-beside-spanners-crash.html  # NoMatch
FAIL  css/css-multicol/remove-inline-with-block-beside-spanners.html  # page 1 diff: 10201/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/remove-spanner-beside-spanner-in-inline-crash.html  # NoMatch
FAIL  css/css-multicol/remove-transform-descendant-becomes-spanner.html  # page 1 diff: 7922/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/replaced-content-spanner-auto-width.html  # page 1 diff: 10201/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/resize-in-strict-containment-nested.html  # page 1 diff: 18585/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/resize-multicol-with-fixed-size-children-002.html  # page 1 diff: 17430/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/resize-multicol-with-fixed-size-children-003.html  # NoMatch
FAIL  css/css-multicol/resize-multicol-with-fixed-size-children.html  # page 1 diff: 10599/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/resize-with-text-after-paint.html  # page 1 diff: 58576/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/scroll-width-height.tentative.html  # NoMatch
FAIL  css/css-multicol/spanner-fragmentation-000.html  # page 1 diff: 18494/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-001.html  # page 1 diff: 17519/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-002.html  # page 1 diff: 18043/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-003.html  # page 1 diff: 15499/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-004.html  # page 1 diff: 13523/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-005.html  # page 1 diff: 15523/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-006.html  # page 1 diff: 34399/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-007.html  # page 1 diff: 19950/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-008.html  # page 1 diff: 9971/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-009.html  # page 1 diff: 10301/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-010.html  # page 1 diff: 12999/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-011.html  # page 1 diff: 10441/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-fragmentation-012.html  # page 1 diff: 10599/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-in-child-after-parallel-flow-001.html  # page 1 diff: 12989/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-in-child-after-parallel-flow-002.html  # page 1 diff: 12989/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-in-child-after-parallel-flow-003.html  # page 1 diff: 12989/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-in-child-after-parallel-flow-004.html  # page 1 diff: 9390/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/spanner-in-opacity.html  # page 1 diff: 5151/891662 pixels exceed tol (max_ch=128)
SKIP  css/css-multicol/spanning-legend-000-crash.html  # NoMatch
SKIP  css/css-multicol/spanning-legend-001-crash.html  # NoMatch
SKIP  css/css-multicol/subpixel-column-progression.html  # NoMatch
PASS  css/css-multicol/subpixel-column-rule-width.tentative.html
SKIP  css/css-multicol/subpixel-scroll-crash.html  # NoMatch
SKIP  css/css-multicol/table/balance-breakafter-before-table-section-crash.html  # NoMatch
SKIP  css/css-multicol/table/balance-table-with-border-spacing.html  # NoMatch
SKIP  css/css-multicol/table/balance-table-with-fractional-height-row.html  # NoMatch
FAIL  css/css-multicol/table/table-cell-as-multicol.html  # page 1 diff: 65/891662 pixels exceed tol (max_ch=242)
FAIL  css/css-multicol/table/table-cell-content-change-000.html  # page 1 diff: 1996/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/table/table-cell-content-change-001.html  # page 1 diff: 28672/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/table/table-cell-multicol-nested-001.html  # page 1 diff: 20574/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/table/table-cell-multicol-nested-002.html  # page 1 diff: 19373/891662 pixels exceed tol (max_ch=255)
FAIL  css/css-multicol/table/table-cell-multicol-nested-003.html  # page 1 diff: 18049/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/text-child-crash.html  # NoMatch
SKIP  css/css-multicol/toggle-spanner-float-crash.html  # NoMatch
SKIP  css/css-multicol/triply-nested-with-fixedpos-in-abspos-crash.html  # NoMatch
SKIP  css/css-multicol/with-custom-layout-on-same-element-crash.https.html  # NoMatch
FAIL  css/css-multicol/with-custom-layout-on-same-element.https.html  # page 1 diff: 6142/891662 pixels exceed tol (max_ch=255)
SKIP  css/css-multicol/zero-column-width-computed-style.html  # NoMatch
FAIL  css/css-multicol/zero-column-width-layout.html  # page count mismatch: test=3 ref=1
